reporting_date,seller_type,payment_type,rto_type,rto_reason,last_undelivery_status,LPD_Bucket,rto_count,total_shipment_count
20260508,AAJ,prepaid,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,1,11
20260508,ABF,prepaid,ZRTO,ZRTO_others,,Breach,2,101
20260508,ABF,prepaid,Non_ZRTO,Attempt_GTE3_Other,Undelivered_HeavyLoad,Breach,1,101
20260508,ABF,prepaid,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,101
20260508,ABF,prepaid,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,1,101
20260508,AGI,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,1,2
20260508,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,1,11
20260508,AIL,cod,ZRTO,ZRTO_NSS,Undelivered_NonServiceablePincode,Breach,1,11
20260508,AIL,cod,ZRTO,ZRTO_others,,Breach,1,11
20260508,ARD,prepaid,ZRTO,ZRTO_others,,Breach,1,5
20260508,AVH,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,10,71
20260508,AVH,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,2,71
20260508,AVH,cod,Non_ZRTO,Cancelled_by_Client,Undelivered_Request_For_Reschedule,Breach,2,71
20260508,AVH,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,2,71
20260508,AVH,cod,ZRTO,ZRTO_NSS,Undelivered_NonServiceablePincode,Breach,1,71
20260508,AVH,prepaid,ZRTO,ZRTO_SSM,Undelivered_SameStateMisroute,Breach,1,131
20260508,AVH,prepaid,Non_ZRTO,Cancelled_by_Client,Undelivered_Request_For_Reschedule,Breach,1,131
20260508,AVH,prepaid,ZRTO,ZRTO_others,,RTO On/Before LPD,1,131
20260508,AVH,cod,ZRTO,ZRTO_others,,Breach,1,71
20260508,AVH,cod,ZRTO,ZRTO_others,,RTO On/Before LPD,1,71
20260508,BBW,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,3
20260508,BGS,prepaid,ZRTO,ZRTO_others,,Breach,5,214
20260508,BGS,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,2,24
20260508,BGS,prepaid,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,1,214
