reporting_date,seller_type,payment_type,rto_type,rto_reason,last_undelivery_status,LPD_Bucket,rto_count,total_shipment_count
20260421,ABF,prepaid,ZRTO,ZRTO_others,,Breach,2,117
20260421,AGI,cod,ZRTO,ZRTO_others,,Breach,1,3
20260421,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,3,16
20260421,AIL,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,16
20260421,AIL,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_HeavyLoad,Breach,1,16
20260421,AIL,cod,ZRTO,ZRTO_Damage,Undelivered_Shipment_Damage,Breach,1,16
20260421,ARD,prepaid,ZRTO,ZRTO_others,,RTO On/Before LPD,1,3
20260421,ATM,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,3,26
20260421,ATM,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,3,26
20260421,ATM,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,2,26
20260421,ATM,prepaid,ZRTO,ZRTO_others,,Breach,2,18
20260421,ATM,cod,ZRTO,ZRTO_others,,Breach,2,26
20260421,ATM,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_No_Response,Breach,1,26
20260421,ATM,cod,Non_ZRTO,Attempt_GTE3_Other,Undelivered_HeavyLoad,Breach,1,26
20260421,ATM,prepaid,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,1,18
20260421,BBW,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,2,2
20260421,BGS,prepaid,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,3,159
20260421,BGS,prepaid,ZRTO,ZRTO_others,,Breach,2,159
20260421,BGS,prepaid,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,2,159
20260421,BGS,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,2,33
20260421,BGS,prepaid,Non_ZRTO,Attempt_1_or_2,Undelivered_Request_For_Reschedule,Breach,1,159
20260421,BGS,prepaid,ZRTO,ZRTO_SSM,Undelivered_SameStateMisroute,Breach,1,159
20260421,BGS,prepaid,Non_ZRTO,Attempt_1_or_2,Undelivered_HeavyLoad,Breach,1,159
20260421,BGS,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,1,33
20260421,BGS,cod,ZRTO,ZRTO_others,,Breach,1,33
20260421,BGS,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,1,33
20260421,BGS,cod,Non_ZRTO,Attempt_1_or_2,Undelivered_Request_For_Reschedule,Breach,1,33
20260421,BHN,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,RTO On/Before LPD,55,479
20260421,BHN,cod,Non_ZRTO,Attempt_GTE3_CNR,Undelivered_No_Response,Breach,20,479
20260421,BHN,cod,Non_ZRTO,ORC,Undelivered_Order_Rejected_By_Customer,Breach,16,479
20260421,BHN,cod,Non_ZRTO,Attempt_GTE3_RFR,Undelivered_Request_For_Reschedule,Breach,14,479
20260421,BHN,cod,ZRTO,ZRTO_NSS,Undelivered_NonServiceablePincode,Breach,9,479
20260421,BHN,cod,ZRTO,ZRTO_others,,Breach,6,479
